term,definition,POS,notes
arithmétisation,arithmetization,f,
arithmétiser,To arithmetize,v,maths] 
arithmographique,arithmographic,adj,
arithmologie,arithmology,f,
arithmomanie,arithmomania,f,
Arkhangelsk,Arkhangelsk (oblast),prop} {m,
Arkhangelsk,Arkhangelsk (city/administrative center),prop} {m,
Arkhanguelsk,alternative spelling of Arkhangelsk,prop} {m,
arkose,arkose,f,geology] 
arlequin,harlequin,m,
arlequin,buffoon,m,
arlequin,jester,m,
arlequinade,harlequinade,f,
arlequinade,buffoonery,f,
arlequine,feminine singular of arlequin,f,
Arles,"Arles (city and commune in Provence, southern France)",prop,
arlésien,Of or from Arles,adj,
Arlette,given name,prop,
Arlon,Arlon,prop,
armada,armada (fleet of warships),f,military] 
armagnac,Armagnac (brandy),m,
armailli,shepherd (of the Fribourg region),m,Switzerland] 
Armand,given name,prop} {m,
armanien,"relating to, or characteristic of Giorgio Armani or the Armani fashion house",adj,
armateur,shipowner,m,
armatole,Armatole,m,
armature,framework (supportive structure),f,
armaturé,reinforced,adj,
armaturé,underwired (of clothing etc.),adj,
arme,"a weapon, arms",f,
armé,armed (having weapons),adj,
armée,army,f,military] 
armée,armed forces,f,military] 
Armel,given name,prop,
armeline,"A fine, white ermine from Lapland",f,
Armelle,"given name, feminine form of Armel",prop,
armement,armament,m,
armement,arming,m,
armement,"Nautical: final stages of the building of a ship (painting, equipment, etc.)",m,
armement,Nautical: preparing a ship for a commercial mission,m,
armement,by extension: shipping company,m,
Arménie,Armenia,prop} {f,
arménien,Armenian,adj,
arménien,Armenian language,m,
Arménien,Armenian (person),m,
Arménienne,feminine noun of Arménien,f,
Arménistan,Armenistan,prop} {m,
armer,to arm (equip with weapons),v,
armer,to dub (a knight),v,
armet,armet,m,
armeur,armourer,m,
armeuse,feminine singular of armeur,f,
armillaire,armillary,adj,
armillé,armillary,adj,
arminianisme,Arminianism,m,
arminien,Arminian,adj,
arminien,Arminian,m,
armistice,armistice,m,
armoire,"wardrobe (British), closet (US), a cabinet, taller than it is wide, for storing things.",f,
armoiries,arms; coat of arms,fp,
armoise,mugwort,f,
armon,coupling (of railway carriages),m,
armorial,armorial,adj,heraldry] 
armoricain,Armorican,adj,
armorier,to emblazon [with arms],vt,
Armorique,Armorica,prop} {f,
armure,armor,f,
armurerie,arms factory,f,
armurerie,gun shop,f,
armurier,gunsmith,m,
armurier,armourer / armorer,m,
armurière,feminine singular of armurier,f,
arnaque,"con, rip-off, swindling",f,colloquial] 
arnaquer,"to swindle, to dupe",v,colloquial] 
arnaquer,to cheat,v,colloquial] 
arnaqueur,swindler,m,
arnaqueur,swindling; lying; cheating,adj,
arnaqueuse,feminine noun of arnaqueur,f,
Arnaud,given name,prop,
Arnaud,surname,prop,
arnica,arnica,f,
arobase,"The at symbol, @",f,computing] 
arobe,at sign (@),f,
aroïdée,arum (of subfamily Aroideae),f,
aromal,aromatic (fragrant),adj,
aromantique,aromantic,adj,
aromate,"seasoning, herb, spice, especially one with a strong, pleasant odour",m,
aromathérapeute,aromatherapist,mf,
aromathérapie,aromatherapy,f,
aromaticité,aromaticity (all senses),f,
aromatique,aromatic (all senses),adj,
aromatisation,aromatization,f,
aromatiser,to aromatize / aromatise,v,
aromatogramme,aromatogram,m,
aromatophore,aromatic,mf,
arôme,aroma,m,
aronde,swallow (bird),f,archaic] 
aroumain,Aromanian language,m,
arpège,arpeggio,m,music] 
arpègement,The playing of an arpeggio,m,music] 
arpéger,To play an arpeggio,v,music] 
arpent,arpent,m,
arpentage,surveying,m,
arpentage,survey,m,
arpenter,to survey land,v,
arpenter,"to pace, to measure",v,
arpenter,"to pace, to walk to and fro",v,
arpenteur,surveyor,m,
arpenteur,surveying,adj,
arpenteuse,feminine noun of arpenteur,f,
arpenteuse,measuring worm,f,
arpète,apprentice (or worker who does odd jobs),mf,
arpette,alternative form of arpète,mf,
arpion,(especially in plural) foot,m,
arpitan,Arpitan (language),m,
arpitan,Arpitan,adj,
arpitan,Arpitanian,adj,
arquebusade,arquebusade (shot of an arquebus),f,
arquebuse,arquebus,f,firearms] 
arquebusier,arquebusier,f,
arquer,to arc,vit,
arquer,to arc (move in an arch shape),vr,s'arquer] 
Arquisat,"Arquisat (hamlet of Miglos, Ariège, France)",prop,
arracache,arracacha,f,
arrachable,peelable,adj,
arrachage,lifting (of potatoes etc),m,
arrachage,weeding,m,
arraché,snatch,m,weightlifting] 
arrachement,uprooting,m,
arrachement,"extracting, extraction",m,
arrachement,"snatching, grabbing",m,
arracher,"to uproot, pull up, tear out",v,
arracher,"to extract, take out (a tooth)",v,
arracher,"to pull off, rip off, peel",v,
arracher,"to buy, snap up",v,
arracher,to fight over (something),vp,
arracher,to tear oneself away (à from),vp,
arracheur,"An agricultural labourer who harvest potatoes, beet etc",m,
arracheur,bag snatcher,m,slang] 
arracheuse,feminine singular of arracheur,f,
arraisonnement,inspection,m,nautical] 
arraisonner,to hail (e.g. a taxicab),v,
arraisonner,to arraign,v,nautical] 
arrangé,"Organized, neat",adj,"colloquial, of a person or thing] "
arrangeable,arrangeable,adj,
arrangement,arrangement,m,
arranger,to arrange,v,
arranger,"to suit, to be convenient",v,colloquial] 
arranger,to be set for,vr,
arranger,to build,v,"Louisiana French, ] "
arranger,to fix,v,"Louisiana French, Cajun French] "
arrangeur,arranger (one who arranges),m,
arrangeur,arranger,m,music] 
arrèc,"ravine, stream [commonly seen in toponyms in Gascony]",m,
arrenter,"To pay a pension, annuity etc",v,
arrérager,To be in arrears,v,
arrérages,arrears,mp,
arrestation,"arrest (The act of arresting a criminal, suspect, etc.)",f,
arrêt,"stopping, checking, arrest (in development, growth, machinery etc.)",m,
arrêt,stop (place),m,
arrêt,"judgment, ruling",m,legal] 
arrêt,"safety catch, stop button",m,
arrêtable,stoppable,adj,
arrêtable,arrestable,adj,
arrêt-court,shortstop,m,baseball] 
arrêté,"agreement, resolution, a thing agreed on, resolved upon",m,
arrêté,order (ruling by an official imposing certain conditions on a group or individual),m,law] 
arrête-bœuf,restharrow,m,
arrêter,"To halt, to stop",vit,
arrêter,"To arrest (a criminal, etc.)",vt,
arrêter,To come to a stop,vr,
arrêter,To wait,v,"Louisiana French, Cajun French] "
arrêtoir,"keeper, valve ball",m,
arrhénogène,arrhenogenic,adj,
arrhénotoque,arrhenotokous,adj,biology] 
arrher,to give down payment,v,
arrhes,down payment; deposit,fp,
arrhize,"arrhizal, arrhizous",adj,botany] 
Arrien-en-Bethmale,Arrien-en-Bethmale (village),prop,
arriération,"retardation, backwardness",f,
arriéré,late (for work or debt),adj,
arriéré,backwards (behind current trends),adj,derogatory] 
arriéré,arrear,m,
arrière-,Forms nouns (normally with a hyphen) from the adverb usage of arrière,prefix,
arrière,back; rear,m,
arrière,fullback,m,sports] 
arrière,shooting guard,m,basketball] 
arrière,"far, far away",adv,
arrière,late,adv,
arrière,"rear, behind, hinter-",adv,
arrière,great (relatives),adv,
arrière,back (near the rear),adj,
arrière-automne,late autumn (near the onset of winter),m,
arrière-ban,An assembly of feudal lords,m,
arrière-bec,The downstream part of the cutwater of a bridge,m,
arrière-bouche,synonym of pharynx,f,
arrière-boutique,A room at the back of a shop,f,
arrière-bras,upper arm,m,
arrière-cerveau,hindbrain,m,
arrière-chambre,backroom,f,
arrière-choeur,alternative form of arrière-chœur,m,
arrière-chœur,A choir placed behind the altar in a church,m,
arrière-cour,backyard (of a house),f,
arrière-cour,rear courtyard (of a mansion etc),f,
arrière-cousin,second cousin,m,
arrière-cousin,distant cousin,m,
arrière-cousine,feminine singular of arrière-cousin,f,
arrière-cuisine,back kitchen,f,
arrière-cuisine,scullery,f,
arrière-été,late summer (near the onset of autumn),m,
arrière-faix,afterbirth,m,
arrière-fleur,second flowering,f,
arrière-foin,second crop,m,
arrière-fond,A deeply-held feeling etc,m,
arrière-garde,rearguard,f,military] 
arrière-gorge,pharynx,f,
arrière-goût,aftertaste,m,
arrière-grand-mère,great-grandmother,f,
arrière-grand-oncle,great-granduncle,m,
arrière-grand-parent,great grandparent,m,
arrière-grand-père,great-grandfather (father of grandparent),m,
arrière-grand-tante,great-grandaunt,f,
arrière-main,hindquarters (of an animal),f,
arrière-main,backhand,f,tennis] 
arrière-neveu,grandnephew,m,
arrière-nièce,grandniece,f,
arrière-pays,hinterland (land immediately next to a coast),m,
arrière-pensée,ulterior motive,f,
arrière-pensée,"doubt, reservation",f,
arrière-petite-fille,great-granddaughter,f,
arrière-petit-enfant,great-grandchild (grandchild of someone’s child),m,
arrière-petite-nièce,great-grandniece,f,
arrière-petit-fils,great-grandson,m,
arrière-petit-neveu,great-grandnephew,m,
arrière-plan,background (part of picture),m,
arrière-point,A type of needlepoint with overlapping stitches,m,
arrière-port,An inner port,m,
arriérer,to tarry (be late),v,
arrière-rang,Last row of attacking soldiers,m,
arrière-rang,rearguard,m,
arrière-saison,autumn (especially late autumn),f,
arrière-saison,the beginnings of old age,f,
arrière-saison,the last months before harvest,f,
arrière-salle,An inner room (behind another one),f,
arrière-scène,backstage,f,
arrière-train,"the rear of a train, or 4x4 vehicle",m,
arrière-train,hindquarters (of an animal),m,
arrière-train,"caboose, posterior, hindquarters (buttocks of a human)",m,
arrière-voussure,An arch behind a door or window,f,architecture] 
arrimage,stowage,m,
arrimer,to stow,v,
arrimeur,"stevedore, docker",m,nautical] 
arrimeuse,feminine singular of arrimeur,f,
arriser,To reef a sail,v,nautical] 
arrivage,arrival,m,
arrivage,advent,m,
arrivant,arriving,adj,
arrivant,incoming,adj,
arrivant,arriver (one who arrives),m,
arrivederci,"farewell, goodbye, arrivederci",interj,
arrivée,arrival,f,
arriver,to arrive (often followed by a location),v,
arriver,"to happen (unlike other translations of happen, can be used with an indirect object to specify something/somebody affected by the action; it may also be used with a relative clause in the subjunctive)",v,impersonal] 
arriver,"to be able to, to manage (to do something successfully) (see also parvenir)",v,
arriver,to obtain a level of success or fame,v,
arrivisme,arrivisme,m,
arriviste,arriviste,mf,
arrobe,"The at symbol, @",f,"computing, rare] "
arroche,orach,f,
arrocher,synonym of lapider,v,
arrogamment,arrogantly,adv,
arrogance,arrogance,f,
arrogant,arrogant,adj,
arrogeable,appropriatable,adj,
arroger,"to arrogate, appropriate; to assume (a position, right etc.)",vr,
arrondi,rounded (made circular or spherical),adj,
arrondi,rounded (approximated to its nearest round value),adj,"mathematics, of a number] "
arrondi,rounded (pronounced with lips drawn together),adj,"phonetics, phonology] "
arrondi,"round part, rounded portion (of an object)",m,
arrondi,fillet (rounded relief or cut at an edge),m,"engineering, architecture] "
arrondi,flare (transition from downward flight to level flight),m,aviation] 
arrondir,To round (make round),v,
arrondir,"To round up, round down or round off",v,of a sum of money] 
arrondissage,rounding (mechanical),f,
arrondissement,Arrondissement,m,
arrondissement,"Arrondissement, a borough (submunicipal administrative division)",m,Canada] 
arrosable,irrigable,adj,
arrosage,watering (act of giving or adding water),m,
arrosage,"bribery, bribe",m,figurative] 
arrosement,"watering, irrigation",m,
arroser,to water (e.g. plants),v,
arroser,to sprinkle,v,
arroser,to squirt,v,
arroser,to spray,v,
arroser,to celebrate (with a drink),v,
arroser,"to grease someone's palm, to bribe",v,
arroseur,waterer (someone who waters plants),m,
arroseuse,water cart,f,
arroseuse,waterer (feminine of: arroseur),f,
arrosoir,watering can,m,
arroyo,arroyo,m,
arrucat,smooth golden fleece (Urospermum dalechampii),m,
arsacide,Arsacid,adj,
arsenal,arsenal,m,"military, nautical] "
Arsenault,surname,prop,
Arsène,given name,prop} {m,
Arseneau,surname,prop,
Arseneault,surname,prop,
arséniate,arsenate,m,inorganic chemistry] 
arsenic,arsenic (chemical element),m,
arsénic,alternative form of arsenic (chemical element),m,
arsenicage,The use of arsenic compounds to remove parasites etc,m,
arsenical,arsenical,adj,
arsénical,arsenical,adj,
arsénicisme,arsenic poisoning,m,
arsénié,arsenical (containing arsenic),adj,
arsénien,arsenian,adj,mineralogy] 
arsénieux,arsenious,adj,inorganic chemistry] 
arsénifère,arseniferous,adj,
arseniqué,arsenicated,adj,
arsénique,arsenic (of oxidation state 5),adj,inorganic chemistry] 
arsénite,arsenite,m,inorganic chemistry] 
arséniure,arsenide,m,inorganic chemistry] 
arsénobétaïne,arsenobetaine,f,organic chemistry] 
arsénolidine,arsenolidine,m,organic compound] 
arsénure,alternative form of arséniure,m,
arsépane,arsepane,m,organic compound] 
arsépine,arsepine,m,organic compound] 
arsétane,arsetane,m,organic compound] 
arsète,arsete,m,organic compound] 
arsin,burn (to the skin),m,obsolete] 
arsine,arsine,f,inorganic compound] 
arsirène,arsirene,m,organic compound] 
arsis,arsis,m,
arsouille,ruffian,mf,"dated, colloquial] "
arsphénamine,arsphenamine,m,organic compound] 
art.,abbreviation of article,n,
art,art (something pleasing to the mind),m,
artabe,artab,m,
Artaxerxès,Artaxerxes,prop,
artchi,Archi (language),m,
artefact,alternative form of artéfact,m,
artéfact,artefact / artifact,m,
artel,artel,m,
Artémis,Artemis,prop} {f,Greek god] 
artémise,wormwood (plant),f,
artére,obsolete spelling of artère,f,
artère,artery (blood vessel),f,anatomy] 
artère,thoroughfare,f,
artériectomie,arterial ectasis,f,surgery] 
artériel,arterial,adj,
artérieux,arterial,adj,"obsolete, anatomy] "
artériographie,arteriography,f,
artériole,arteriole,f,anatomy] 
artériosclérose,arteriosclerosis,f,pathology] 
artériotomie,arteriotomy,f,
artérioveineux,arteriovenous,adj,anatomy] 
artérite,arteritis,f,pathology] 
artéritique,arteritic,adj,
artésien,artesian,adj,
artésien,from Artois,adj,
Artésien,Someone from Artois,m,
Artésien,Someone from Artaix,m,
Artésienne,feminine singular of Artésien,f,
arthralgie,arthralgia,f,pathology] 
arthralgique,arthralgic,adj,
arthrite,arthritis,f,
arthritique,arthritic,adj,pathology] 
arthritisme,arthritism,m,pathology] 
arthrodie,arthrodia,f,anatomy] 
arthrographie,arthrography,f,
arthrologie,arthrology,f,anatomy] 
arthrologique,arthrological,adj,
arthromère,arthromere,m,entomology] 
arthropathie,arthropathy,f,pathology] 
arthroplastie,arthroplasty,f,surgery] 
arthropode,arthropod,m,
arthroscopie,arthroscopy,f,
arthrose,joint,f,anatomy] 
arthrose,osteoarthritis (inflammation of a joint),f,
Arthur,given name,prop} {m,
arthurien,Arthurian,adj,
artichaut,"artichoke [plant, vegetable]",m,
artichautière,An artichoke plantation,f,
artichautière,A vessel used to cook artichokes,f,
artichonade,"A traditional Provençal spreadable dish consisting of artichokes, garlic, olive oil and other herbs or spices",f,
article,article (a piece of nonfictional writing),m,
article,article,m,grammar] 
article,"merchandise, sales article",m,
article,section (of a law),m,
article,"joint, articulation",m,dated] 
article,moment (only in the phrase à l'article de la mort),m,
articulaire,articular,adj,
articulaire,articular bone (of reptiles and birds),m,
articulairement,articularly,adv,
articulatif,articulative,adj,
articulation,joint (joint with freedom to rotate),f,anatomy] 
articulation,"articulation (quality, clarity or sharpness of speech)",f,
articulatoire,articulatory (of or pertaining to articulation; phonological),adj,
articulé,articulated,adj,
articulé,enunciated,adj,
articulément,distinctly,adv,
articuler,"to join, articulate",v,
articulet,A short article (in a newspaper),m,
artifice,"artifice, trick, ploy",m,
artifice,device,m,literary] 
artificialisation,artificialization,f,
artificialiser,To artificialize,v,
artificialité,artificiality,f,
artificiel,artificial,adj,
artificiellement,artificially,adv,
artificier,pyrotechnist,m,
artificier,artificer,m,military] 
artificieusement,"artfully, deceitfully",adv,
artificieusement,slyly,adv,
artificieux,"artful, deceitful",adj,
artificieux,"wily, cunning, sly",adj,
Artigat,Artigat (village),prop,
Artigues,Artigues (village),prop,
Artigues,"Artigues (village of Aude, France)",prop,
Artigues,"Artigues (village of Hautes-Pyrénées, France)",prop,
artillerie,artillery,f,
artilleur,gunner,m,
artilleur,hitman (goalscorer),m,soccer] 
artimon,mizzen,m,
artinien,Artinian,adj,maths] 
artisan,artisan (manual worker),m,
artisan,creator; innovator; inventor,m,figuratively] 
artisanal,artisanal,adj,
artisanal,(often derogatory) makeshift,adj,
artisanalement,artisanally,adv,
artisanat,craft industry,m,
artisanat,craftsmen,m,
artisane,feminine noun of artisan,f,
artiste,artist,mf,
artistement,artfully,adv,
artistique,artistic,adj,
artistiquement,artistically,adv,
artocarpe,breadfruit (of genus Artocarpus),m,
Artois,"A former county of the Kingdom of France, in what is now north-eastern France",prop,historical] 
Artois,"A former state of the Holy Roman Empire, in what is now north-eastern France",prop,historical] 
arui,"The Barbary sheep, Ammotragus lervia",m,
arum,arum,m,
aruspice,haruspex,m,
aryanisation,Aryanization,f,
aryanisé,Aryanized,adj,
aryaniser,To Aryanize,v,
aryanisme,Aryanism,m,
aryanité,Aryaness,f,
aryen,Aryan,adj,
aryle,aryl,m,organic chemistry] 
ARYM,FYROM (former Yugoslav Republic of Macedonia),prop,
aryosophe,aryosophic,adj,
aryosophie,aryosophy,f,
aryténoïde,arytenoid (cartilage),m,
arythmie,arrhythmia,f,
arythmique,arhythmic,adj,
as,ace (card of value 1),m,
as,ace (expert or pilot),m,
as,as (Roman coin),m,
asacramentaire,asacramental (not sacramental),adj,
asaret,"wild spikenard, asarabacca (Asarum europaeum)",m,
asbeste,asbestos,m,archaic] 
asbestiforme,asbestiform,adj,
asbestose,asbestosis,f,pathology] 
ASBL,initialism of association sans but lucratif = NPO (nonprofit organization),f,
asboline,asbolin,f,
ASC,CSA (Canadian Space Agency),prop} {f,
ascalaphe,moth (of the genus Ascalapha),m,
ascaride,synonym of ascaris,m,
ascaridiase,synonym of ascaridiose,f,
ascaridiose,ascariasis,f,pathology] 
ascaris,ascarid,m,
ascendance,ascent,f,astronomy] 
ascendance,[family] ancestry,f,
ascendant,ascendant,adj,
ascendant,ascendant,m,astrology] 
ascendant,"influence, ascendancy",m,
ascendant,ancestry,m,genealogy] 
ascendeur,ascendeur,m,
ascendre,to ascend,v,"rare, dated] "
ascenseur,"lift, elevator",m,
ascenseur,scroll bar,m,
ascension,ascent,f,
ascension,ascension,f,
Ascension,Ascension; the holiday commemorating the Ascension of Jesus,prop,Christianity] 
ascensionnel,ascending,adj,
ascensionnel,upward,adj,
ascensionner,To climb (a mountain),v,
ascensionner,To ascend,v,
ascensionniste,climber,mf,
ascèse,asceticism,f,
ascète,ascetic,mf,
ascétique,ascetic,adj,
ascétiquement,ascetically,adv,
ascétisme,asceticism (the principles and practices of an ascetic),m,
ascidie,ascidian,f,
ascidiiforme,ascidiform,adj,
ascite,ascites,f,pathology] 
ascitique,ascitic,adj,
asclépiadacée,milkweed (of the genus Asclepias),m,
asclépiade,Asclepiadean,adj,
ascomycète,ascomycete,m,
ascorbique,ascorbic,adj,
Asdi,"Sida, initialism of Agence suédoise de coopération internationale au développement",prop,
aséité,aseity,f,philosophy] 
asémantique,asemantic,adj,grammar] 
asémique,asemic (all senses),adj,
asepsie,asepsis,f,
aseptique,aseptic,adj,
aseptiquement,aseptically,adv,
aseptisation,"sterilization, disinfecting",f,
aseptiser,"to sterilize, to disinfect",v,
asexualité,asexuality,f,
asexué,asexual (genderless),adj,
asexué,asexual (without sex; not involving sexual intercourse),adj,
asexuel,asexual,adj,
asexuellement,asexually,adv,biology] 
Ásgard,Asgard,prop} {m,Norse mythology] 
ashkénaze,Ashkenazi,adj,
ashkénaze,Ashkenazi,mf,
ashram,ashram,m,
asialie,asialism,f,pathology] 
asiarcat,Asiarchate,m,
asiarque,Asiarch,m,
asiate,"Asian, Asiatic",adj,
asiatique,From or pertaining to Asia; Asian; Asiatic,adj,
Asiatique,Asian (someone from Asia),mf,
Asie,Asia,prop} {f,
asien,Asian,adj,rare] 
asilaire,asylum (attributive),adj,
asile,"retirement home, old people's home",m,
asile,asylum,m,
asiner,To play the fool,v,
asinesque,asinine (like a donkey),adj,
asinien,asinine,adj,
asinin,asinine,adj,
askari,askari,m,historical] 
askip,"apparently, they say (that), rumour has it (that)",adv,slang] 
ASM,"initialism of Association Sportive de Monaco Football Club, a soccer team from Monaco",prop,soccer] 
ASM,gloss (anti-submarine warfare) abbreviation of anti-sous-marine,adj,
asociabilité,asociality,f,
asocial,asocial,adj,
asparagine,asparagine,f,amino acid] 
aspartique,aspartic,adj,organic chemistry] 
aspe,asp (fish),m,
aspect,aspect,m,
aspect,aspect (grammatical quality of a verb),m,grammar] 
aspectuel,aspectual,adj,
asperge,"asparagus (plant, vegetable)",f,
asperge,"A tall, thin person; a beanpole",f,colloquial] 
asperger,"to spray, sprinkle",v,
asperger,"to splash, splatter",v,
aspergille,aspergillus,f,
aspergilliforme,aspergilliform,adj,botany] 
aspergillose,aspergillosis,f,pathoogy] 
aspérifolié,"asperifoliate, asperifolious",adj,botany] 
aspérité,asperity,f,
aspérité,ruggedness,f,
aspermatisme,aspermatism,m,
asperme,aspermic,adj,
aspermie,aspermia,f,medicine] 
asperseur,"sprinkler (agricultural, or against fire)",m,
aspersion,aspersion,f,
aspersion,sprinkling,f,
aspersoir,aspergillum,m,
asphaltage,asphalting (roadmaking),m,
asphalte,asphalt,m,
asphalter,to asphalt,vt,
asphaltique,asphaltic,adj,
asphérique,aspheric,adj,
asphodèle,asphodel (plant of the genus Asphodelus),m,botany] 
asphyxiant,asphyxiant,adj,
asphyxie,"asphyxia, asphyxiation",f,
asphyxier,to asphyxiate,v,
asphyxique,asphyxic,adj,
aspi,young military officer,m,colloquial] 
aspi,vacuum cleaner; hoover,m,colloquial] 
aspic,asp (Vipera aspis),m,
aspic,asp (Naja haje),m,
aspic,"slanderer, libeller",m,
aspic,aspic (dish),m,cuisine] 
aspic,miser,m,"slang, dated, rare] "
aspic,"spike lavender, Lavandula latifolia",m,
aspidistra,aspidistra,m,
aspirant,aspirant,m,
aspirant,"officer candidate, officer designate, midshipman",m,military] 
aspirant,aspiring,adj,
aspirant,"sucking, extracting",adj,
aspirateur,vacuum cleaner,m,
aspirateur,aspirator,m,
aspiratif,aspirational,adj,
aspiration,aspiration,f,
aspirationnel,aspirational,adj,
aspiratoire,aspiratory,adj,
aspiré,aspirated,adj,
aspirer,"to aspire (to wait, to long)",vi,followed by à] 
aspirer,to aspirate (to produce breath after pronouncing),vt,
aspirer,"to inhale, to breathe in",vt,
aspirer,"to extract, to suck up",vt,
aspirine,an aspirin (analgesic drug),f,pharmacology] 
asple,"reel, spool",m,
asplénium,spleenwort,m,
asporulé,asporulated,adj,biology] 
asque,ascus,m,
assadiste,Assadist,adj,
assadiste,Assadist,mf,
assagir,"to settle down, quieten down",vtr,
assagissement,settling down,m,
assai,assai,adv,music] 
assaillant,assailant,adj,
assaillant,assailling,adj,
assaillant,assailant,m,
assaillir,to assail; to assault; to attack,v,
assainir,to clean up,v,
assainir,to stabilise,v,finance] 
assainir,"to heal, to remedy, to make healthier",v,
assainir,"to sanitise (environment), to purify (water)",v,
assainir,"to get healthier, to regain one's health",vr,
assainissement,"healing, getting back to health",m,
assainissement,sanitation,m,
assainissement,"cleanup, cleaning up",m,
assainissement,purification,m,
assainisseur,"deodorant, sanitizer",m,
assainisseur,ozonizer (user to sanitize),m,
assaisonnement,"seasoning, flavouring",m,
assaisonnement,(salad) dressing,m,
assaisonner,to season (to sprinkle with seasoning),v,
Assam,Assam (state),prop} {m,
assamais,Assamese (language),m,
assarmenter,To prune a vine by removing branches,v,
assassin,an assassin,m,
assassin,deadly; fatal; that kills,adj,
assassinat,assassination,m,
assassinat,first-degree murder (premeditated murder),m,law] 
assassiner,to assassinate,vt,
assaut,assault,m,
assavoir,to know,v,"obsolete, except in Canada] "
-asse,Suffix forming the first-person singular imperfect subjunctive of -er verbs,suffix,
-asse,Suffix forming pejoratives,suffix,
asse,A type of pickaxe used in tunneling,m,
asseau,A slater's hammer with a sharp edge,m,
asséchant,drying,adj,
assèchement,drainage,m,
assèchement,drying out,m,
assécher,to dry out; to dry,vit,ergative] 
Assedic,acronym of Association pour l'emploi dans l'industrie et le commerce (company managing unemployment insurance payments),prop} {f,
Asselin,surname,prop,
assemblage,"assemblage, gathering, assembly (process of assembling; result of this action)",m,
assemblage,jointing (act of making a joint),m,carpentry] 
assemblage,joint,m,carpentry] 
assemblage,a phase in compilation where an assembly language is translated into a binary file,m,computing] 
assemblage,cuvée (wine produced from a mixture of several grape varieties),m,viticulture] 
assemblage,assemblage (group of different artifacts found in association with one another),m,archaeology] 
assemblage,sequence assembly (aligning and merging of DNA fragments to reconstruct a sequence),m,bioinformatics] 
assemblage,genome assembly (process of reassembling DNA sequences),m,bioinformatics] 
assemblage,juxtaposition of several maps or cuttings to create a larger map,m,cartography] 
assemblée,assembly,f,
assembler,to assemble,v,
assembleur,assembler,m,
assembleuse,feminine singular of assembleur,f,
assener,to strike (a blow),v,
assener,"to thrust out, fling (an argument, reply)",v,
asséner,"To strike, hit, throw (punches at)",vt,
asséner,to hurl; throw (insults),vt,
-assent,Suffix forming the third-person plural imperfect subjunctive of -er verbs,suffix,
assentiment,consent; approval,m,
assentir,to assent (to),v,"archaic, with à] "
asseoir,to sit down; to get seated,vt,
asseoir,to assert,v,
asseoir,to sit down; to sit up; to take a seat,vr,
assermenté,sworn (on oath),adj,
assermenter,To swear in,vt,law] 
asserter,to assert,vt,
assertif,assertive,adj,
assertion,assertion,f,
assertivement,assertively,adv,
assertoire,assertory,adj,
assertorique,assertoric,adj,"logic, maths] "
asservir,to enslave,v,
asservissable,enslavable,adj,
asservissement,enslavement,m,
asservissement,slavery,m,
asservissement,control engineering,m,
asservisseur,enslaver,m,
asservisseuse,feminine singular of asservisseur,f,
-asses,Suffix forming the second-person singular imperfect subjunctive of -er verbs,suffix,
assesseur,"assessor, judge advocate",m,legal] 
assessoral,assessorial,adj,
assessrice,feminine noun of assesseur,f,hapax legomenon] 
assette,A type of small pickaxe,f,
assez,enough,adv,
assez,quite,adv,
assez,rather,adv,
assibilation,assibilation,f,phonology] 
assibiler,To assibilate,v,
assida,A form of polenta made from pine kernels,f,
assidu,"assiduous (hard-working, diligent)",adj,
assiduité,attendance,f,
assiduité,"assiduity, diligence, studiousness",f,
assidument,alternative spelling of assidûment,adv,
assidûment,assiduously (in an assiduous manner),adv,
assiégé,besieged,adj,
assiégeant,besieging,adj,
assiégeant,besieger,m,
assiéger,to besiege; to lay siege to,vt,
assiette,"manner of being seated, situation",f,archaic] 
assiette,seat,f,horse racing] 
assiette,"trim, attitude, pitch attitude",f,nautical] 
assiette,basis,f,accounting] 
assiette,dish [the food],f,
assiette,"plate, dish [the crockery]",f,
assiette,plateful,f,
assiettée,plateful,f,
-assiez,Suffix forming the second-person plural imperfect subjunctive of -er verbs,suffix,
assignable,assignable,adj,
assignat,assignat,m,historical] 
assignation,assignation,f,
assigné,assigned,adj,
assigner,to assign,v,
assimilable,Assimilable,adj,
assimilateur,"assimilative, assimilatory",adj,
assimilatif,assimilative,adj,
assimilation,assimilation,f,phonology] 
assimiler,to assimilate (all meanings),v,
assimiler,to liken,v,
-assions,Suffix forming the first-person plural imperfect subjunctive of -er verbs,suffix,
assir,"alternative spelling of asseoir, to sit",v,"Louisiana French, Cajun French, ] "
assis,"sat, sat down, seated",adj,
assise,foundation (supporting base of a wall),f,
assise,"base, foundation",f,figuratively] 
assise,"stratum, bed, layer (layer of sedimentary rock)",f,geology] 
assise,stratum (layer of vegetation),f,ecology] 
assise,stratum (layer of tissue),f,anatomy] 
assise,course (row or layer of bricks),f,masonry] 
assise,seat of a chair,f,
assise,fly excrement,f,"archaic, Lorraine, chiefly plural] "
Assise,Assisi,prop,
assistanat,assistantship,m,
assistanat,"charity, welfare",m,pejorative] 
assistance,assistance,f,
assistance,audience,f,
assistant,assistant,m,
assistante,assistant,f,
assister,"to assist, to aid",vt,
assister,"to attend, to be present",vi,followed by à] 
assister,"to witness, to observe",vi,followed by à] 
associateur,associator,m,maths] 
associateur,"shirk, idolatry",m,Islam] 
associatif,associative (algebraic property of an operator),adj,mathematics] 
